# Matter power spectrum P(k) at redshift z=0
# for k=2.08411e-07 to 10.7451 h/Mpc,
# number of wavenumbers equal to 6840
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.154764700050e-04       2.464352239518e+03 
       6.175990358081e-04       2.472427443431e+03 
       6.197292044152e-04       2.480529401119e+03 
       6.218670025419e-04       2.488658192457e+03 
       6.240124568578e-04       2.496813896971e+03 
       6.261655939841e-04       2.504996593833e+03 
       6.283264404919e-04       2.513206361850e+03 
       6.304950228993e-04       2.521443279456e+03 
       6.326713676700e-04       2.529707424703e+03 
       6.348555012104e-04       2.537998875254e+03 
       6.370474498678e-04       2.546317708370e+03 
       6.392472399281e-04       2.554664000905e+03 
       6.414548976133e-04       2.563037829294e+03 
       6.436704490796e-04       2.571439269546e+03 
       6.458939204147e-04       2.579868397235e+03 
       6.481253376359e-04       2.588325287488e+03 
       6.503647266875e-04       2.596810014981e+03 
       6.526121134385e-04       2.605322653924e+03 
       6.548675236805e-04       2.613863278057e+03 
       6.571309831252e-04       2.622431960635e+03 
